"task","id","group","session","trial","grips","auc"
"inst",100,"control","second",1,12,133.5
"inst",100,"control","second",2,13,138
"inst",100,"control","second",3,15,167
"inst",100,"control","second",4,15,152
"inst",100,"control","second",5,15,142
"inst",100,"control","second",6,16,152
"inst",100,"control","second",7,18,141
"inst",100,"control","second",8,16,179.5
"inst",100,"control","second",9,17,136.5
"inst",100,"control","second",10,17,107
"inst",100,"control","second",11,18,175.5
"inst",100,"control","second",12,17,172
"inst",100,"control","second",13,19,129.5
"inst",100,"control","second",14,15,196
"inst",100,"control","second",15,19,177
"inst",100,"control","second",16,13,199
"inst",100,"control","second",17,12,168
"inst",100,"control","second",18,14,243
"inst",100,"control","second",19,14,267
"inst",100,"control","second",20,14,202.5
"inst",100,"control","second",21,14,224.5
"inst",100,"control","second",22,14,304
"inst",100,"control","second",23,12,256.5
"inst",100,"control","second",24,9,220.5
"inst",101,"control","second",1,7,45
"inst",101,"control","second",2,7,45
"inst",101,"control","second",3,8,60
"inst",101,"control","second",4,8,55
"inst",101,"control","second",5,8,63
"inst",101,"control","second",6,9,86
"inst",101,"control","second",7,9,104.5
"inst",101,"control","second",8,9,87
"inst",101,"control","second",9,9,89
"inst",101,"control","second",10,8,73
"inst",101,"control","second",11,11,92.5
"inst",101,"control","second",12,11,88
"inst",101,"control","second",13,11,119
"inst",101,"control","second",14,12,103
"inst",101,"control","second",15,11,106
"inst",101,"control","second",16,12,104.5
"inst",101,"control","second",17,11,131.5
"inst",101,"control","second",18,12,138
"inst",101,"control","second",19,12,127
"inst",101,"control","second",20,13,133
"inst",101,"control","second",21,14,157.5
"inst",101,"control","second",22,13,155
"inst",101,"control","second",23,13,146
"inst",101,"control","second",24,14,126
"inst",102,"control","second",1,6,233
"inst",102,"control","second",2,7,240
"inst",102,"control","second",3,7,288.5
"inst",102,"control","second",4,7,271
"inst",102,"control","second",5,7,236
"inst",102,"control","second",6,8,229
"inst",102,"control","second",7,8,218
"inst",102,"control","second",8,8,235.5
"inst",102,"control","second",9,8,236
"inst",102,"control","second",10,8,221
"inst",102,"control","second",11,9,259.5
"inst",102,"control","second",12,7,219
"inst",102,"control","second",13,7,228
"inst",102,"control","second",14,9,177.5
"inst",102,"control","second",15,9,196.5
"inst",102,"control","second",16,9,225.5
"inst",102,"control","second",17,9,216
"inst",102,"control","second",18,8,185.5
"inst",102,"control","second",19,9,200.5
"inst",102,"control","second",20,9,221.5
"inst",102,"control","second",21,9,216.5
"inst",102,"control","second",22,8,188
"inst",102,"control","second",23,8,203.5
"inst",102,"control","second",24,8,182.5
"inst",103,"control","second",1,1,29
"inst",103,"control","second",2,3,94
"inst",103,"control","second",3,3,92
"inst",103,"control","second",4,3,160
"inst",103,"control","second",5,2,175
"inst",103,"control","second",6,4,130
"inst",103,"control","second",7,2,107
"inst",103,"control","second",8,3,134
"inst",103,"control","second",9,2,155
"inst",103,"control","second",10,3,117
"inst",103,"control","second",11,3,183
"inst",103,"control","second",12,3,146
"inst",103,"control","second",13,2,126
"inst",103,"control","second",14,2,95
"inst",103,"control","second",15,2,134
"inst",103,"control","second",16,2,98
"inst",103,"control","second",17,1,44
