"task","id","group","session","trial","condition","trialxcondition","gripFreq","peak","AUC","gripFreq_calib","peak_calib","AUC_calib"
"PIT",100,"control","second",1,"CSplus",1,13,32,237,13,32,237
"PIT",100,"control","second",2,"CSplus",2,15,31,214,15,31,214
"PIT",100,"control","second",3,"CSplus",3,15,33,227,15,33,226
"PIT",100,"control","second",4,"CSminus",1,14,37,316.5,14,37,316.5
"PIT",100,"control","second",5,"CSminus",2,14,38,312,14,38,312
"PIT",100,"control","second",6,"CSminus",3,16,38,295.5,16,38,293.5
"PIT",100,"control","second",7,"BL",1,18,37,247.5,17,36,245.5
"PIT",100,"control","second",8,"BL",2,15,38,227,16,38,224
"PIT",100,"control","second",9,"BL",3,15,35,266,16,35,266
"PIT",100,"control","second",10,"BL",4,14,35,193,14,35,190
"PIT",100,"control","second",11,"BL",5,13,33,102,14,33,95
"PIT",100,"control","second",12,"BL",6,13,35,147,12,35,143
"PIT",100,"control","second",13,"CSplus",4,14,38,172.5,14,38,165
"PIT",100,"control","second",14,"CSplus",5,16,35,231,16,35,224
"PIT",100,"control","second",15,"CSplus",6,13,37,150,12,37,148
"PIT",100,"control","second",16,"CSminus",4,13,39,259,16,39,256
"PIT",100,"control","second",17,"CSminus",5,14,37,215.5,17,37,206.5
"PIT",100,"control","second",18,"CSminus",6,16,40,189.5,16,40,185.5
"PIT",100,"control","second",19,"CSminus",7,17,35,229,16,35,223
"PIT",100,"control","second",20,"CSminus",8,11,37,149,10,37,143
"PIT",100,"control","second",21,"CSminus",9,11,37,209.5,11,37,207.5
"PIT",100,"control","second",22,"BL",7,13,40,128,12,40,120
"PIT",100,"control","second",23,"BL",8,12,37,136,13,37,130
"PIT",100,"control","second",24,"BL",9,14,38,112,15,38,109
"PIT",100,"control","second",25,"CSplus",7,9,40,122,10,40,119
"PIT",100,"control","second",26,"CSplus",8,7,38,90,8,38,89
"PIT",100,"control","second",27,"CSplus",9,8,40,110,9,40,107
"PIT",100,"control","second",28,"CSminus",10,16,38,215,16,38,211
"PIT",100,"control","second",29,"CSminus",11,16,38,165,16,38,157
"PIT",100,"control","second",30,"CSminus",12,15,41,296.5,15,41,295.5
"PIT",100,"control","second",31,"BL",10,16,38,302,17,38,300
"PIT",100,"control","second",32,"BL",11,18,39,294,18,39,294
"PIT",100,"control","second",33,"BL",12,19,35,281,19,35,280
"PIT",100,"control","second",34,"CSplus",10,18,38,203.5,18,38,201.5
"PIT",100,"control","second",35,"CSplus",11,22,38,189,22,38,189
"PIT",100,"control","second",36,"CSplus",12,16,38,160,15,38,158
"PIT",100,"control","second",37,"BL",13,18,38,262,18,38,259
"PIT",100,"control","second",38,"BL",14,21,41,195.5,21,41,192.5
"PIT",100,"control","second",39,"BL",15,19,40,266,20,40,264
"PIT",100,"control","second",40,"CSplus",13,17,38,235,18,38,233
"PIT",100,"control","second",41,"CSplus",14,21,37,208.5,21,37,206.5
"PIT",100,"control","second",42,"CSplus",15,18,37,254,19,36,253
"PIT",100,"control","second",43,"CSminus",13,17,39,219,18,39,218
"PIT",100,"control","second",44,"CSminus",14,19,35,170.5,18,35,166.5
"PIT",100,"control","second",45,"CSminus",15,20,36,288.5,20,36,285.5
"PIT",101,"control","second",1,"CSplus",1,8,22,60,8,23,63
"PIT",101,"control","second",2,"CSplus",2,13,23,113,13,23,119
"PIT",101,"control","second",3,"CSplus",3,11,17,91,12,17,100
"PIT",101,"control","second",4,"BL",1,12,24,111,12,24,120
"PIT",101,"control","second",5,"BL",2,14,17,122,14,19,128
"PIT",101,"control","second",6,"BL",3,12,27,105,13,27,121
"PIT",101,"control","second",7,"CSminus",1,14,22,130,13,24,137
"PIT",101,"control","second",8,"CSminus",2,15,17,107,15,18,119
"PIT",101,"control","second",9,"CSminus",3,15,26,130,15,26,135
"PIT",101,"control","second",10,"CSplus",4,14,17,110,14,17,116
"PIT",101,"control","second",11,"CSplus",5,14,25,105,14,25,118
"PIT",101,"control","second",12,"CSplus",6,15,18,107,15,18,117
"PIT",101,"control","second",13,"BL",4,15,19,92,15,19,99
"PIT",101,"control","second",14,"BL",5,15,27,95,15,27,104
"PIT",101,"control","second",15,"BL",6,14,19,93,14,19,102
"PIT",101,"control","second",16,"CSminus",4,15,25,104,15,25,109
"PIT",101,"control","second",17,"CSminus",5,15,23,105,15,23,116
"PIT",101,"control","second",18,"CSminus",6,15,21,93,15,21,102
"PIT",101,"control","second",19,"CSplus",7,15,27,105,15,27,112
"PIT",101,"control","second",20,"CSplus",8,16,18,96,16,19,105
"PIT",101,"control","second",21,"CSplus",9,16,27,99,16,27,106
"PIT",101,"control","second",22,"CSminus",7,16,21,104,16,21,109
"PIT",101,"control","second",23,"CSminus",8,16,21,106,16,21,116
"PIT",101,"control","second",24,"CSminus",9,15,27,93,15,27,102
"PIT",101,"control","second",25,"BL",7,14,17,96,15,17,103
"PIT",101,"control","second",26,"BL",8,16,27,109,15,27,116
"PIT",101,"control","second",27,"BL",9,15,22,93,15,22,102
"PIT",101,"control","second",28,"BL",10,16,22,88,16,22,96
"PIT",101,"control","second",29,"BL",11,16,29,102,16,29,109
"PIT",101,"control","second",30,"BL",12,16,16,110,16,16,126
"PIT",101,"control","second",31,"CSplus",10,15,28,92,15,29,99
"PIT",101,"control","second",32,"CSplus",11,15,19,94,14,21,101
"PIT",101,"control","second",33,"CSplus",12,16,21,101,16,21,106
"PIT",101,"control","second",34,"CSminus",10,16,25,103,16,26,114
"PIT",101,"control","second",35,"CSminus",11,16,16,104,16,16,113
"PIT",101,"control","second",36,"CSminus",12,16,21,96,16,22,106
"PIT",101,"control","second",37,"CSplus",13,17,24,99,17,24,111
"PIT",101,"control","second",38,"CSplus",14,17,21,94,17,22,109
"PIT",101,"control","second",39,"CSplus",15,17,29,82,17,30,94
"PIT",101,"control","second",40,"BL",13,16,17,88,16,17,101
"PIT",101,"control","second",41,"BL",14,17,26,102,17,26,106
"PIT",101,"control","second",42,"BL",15,17,27,95,17,28,107
"PIT",101,"control","second",43,"CSminus",13,17,17,90,17,18,102
"PIT",101,"control","second",44,"CSminus",14,18,32,89,18,32,94
"PIT",101,"control","second",45,"CSminus",15,18,17,96,18,17,100
"PIT",102,"control","second",1,"CSplus",1,6,24,130,6,24,128
"PIT",102,"control","second",2,"CSplus",2,8,25,161,8,25,158
"PIT",102,"control","second",3,"CSplus",3,6,38,294,6,38,288
"PIT",102,"control","second",4,"CSminus",1,8,34,261,8,34,256
"PIT",102,"control","second",5,"CSminus",2,8,33,269.5,8,33,261.5
"PIT",102,"control","second",6,"CSminus",3,7,35,333.5,7,35,325.5
"PIT",102,"control","second",7,"BL",1,8,37,294.5,8,36,285.5
"PIT",102,"control","second",8,"BL",2,8,39,272.5,7,38,265.5
"PIT",102,"control","second",9,"BL",3,8,37,190,8,37,176
"PIT",102,"control","second",10,"BL",4,8,34,226,8,34,219
"PIT",102,"control","second",11,"BL",5,8,38,256,8,36,248
"PIT",102,"control","second",12,"BL",6,9,38,258.5,9,37,250.5
"PIT",102,"control","second",13,"CSplus",4,8,39,194,8,39,186
"PIT",102,"control","second",14,"CSplus",5,8,36,198,8,36,183
"PIT",102,"control","second",15,"CSplus",6,7,33,195,7,33,178
"PIT",102,"control","second",16,"CSminus",4,8,36,234,8,35,230
"PIT",102,"control","second",17,"CSminus",5,9,37,229.5,9,37,226.5
"PIT",102,"control","second",18,"CSminus",6,9,35,240,9,35,234
"PIT",102,"control","second",19,"CSminus",7,9,36,246,9,35,239
"PIT",102,"control","second",20,"CSminus",8,10,34,210,10,34,204
"PIT",102,"control","second",21,"CSminus",9,11,35,229,11,35,223
"PIT",102,"control","second",22,"CSplus",7,6,37,76,5,37,59
"PIT",102,"control","second",23,"CSplus",8,7,35,61.5,5,33,47.5
"PIT",102,"control","second",24,"CSplus",9,8,38,131,8,37,116
"PIT",102,"control","second",25,"BL",7,8,36,185,8,36,179
"PIT",102,"control","second",26,"BL",8,9,36,191.5,9,36,184.5
"PIT",102,"control","second",27,"BL",9,9,40,173.5,9,39,168.5
"PIT",102,"control","second",28,"CSminus",10,9,37,206,9,36,200
"PIT",102,"control","second",29,"CSminus",11,9,36,205.5,9,36,197.5
"PIT",102,"control","second",30,"CSminus",12,9,35,216,9,35,208
"PIT",102,"control","second",31,"BL",10,9,34,224,9,33,215
"PIT",102,"control","second",32,"BL",11,8,35,211,9,34,205
"PIT",102,"control","second",33,"BL",12,9,33,173.5,9,32,168.5
"PIT",102,"control","second",34,"CSplus",10,3,34,27,2,34,16
"PIT",102,"control","second",35,"CSplus",11,6,34,53,5,34,23
"PIT",102,"control","second",36,"CSplus",12,8,36,75,8,36,62
"PIT",102,"control","second",37,"BL",13,9,38,190.5,9,35,184.5
"PIT",102,"control","second",38,"BL",14,9,39,208.5,9,39,201.5
"PIT",102,"control","second",39,"BL",15,9,35,201.5,9,35,195.5
"PIT",102,"control","second",40,"CSminus",13,9,36,194.5,9,35,187.5
"PIT",102,"control","second",41,"CSminus",14,9,38,218,9,37,210
"PIT",102,"control","second",42,"CSminus",15,9,35,188,9,35,182
