"task","id","group","session","phase","piss","thirsty","hungry"
"internal",100,"control","second",1,12.08791,31.59341,59.61538
"internal",100,"control","second",2,11.53846,20.6044,28.57143
"internal",100,"control","second",3,18.95604,13.18681,15.38462
"internal",100,"control","second",4,50.82418,59.34066,72.8022
"internal",100,"control","second",5,75.54945,57.69231,88.18681
"internal",102,"control","second",1,NA,NA,NA
"internal",102,"control","second",2,8.241758,8.516484,8.241758
"internal",102,"control","second",3,11.26374,8.241758,8.241758
"internal",102,"control","second",4,12.08791,8.241758,8.241758
"internal",102,"control","second",5,NA,NA,NA
"internal",105,"control","second",1,12.36264,67.30769,66.48352
"internal",105,"control","second",2,11.81319,63.18681,71.7033
"internal",105,"control","second",3,16.75824,56.59341,82.96703
"internal",105,"control","second",4,18.68132,50,64.83516
"internal",105,"control","second",5,17.58242,54.12088,69.50549
"internal",106,"control","second",1,16.75824,27.74725,59.61538
"internal",106,"control","second",2,15.65934,24.72527,57.41758
"internal",106,"control","second",3,11.81319,15.93407,55.49451
"internal",106,"control","second",4,10.43956,8.241758,50
"internal",106,"control","second",5,12.91209,8.241758,50
"internal",107,"control","second",1,10.16484,19.78022,64.28571
"internal",107,"control","second",2,12.36264,26.0989,57.14286
"internal",107,"control","second",3,60.43956,41.48352,56.04396
"internal",107,"control","second",4,55.21978,27.47253,53.57143
"internal",107,"control","second",5,74.45055,8.241758,40.65934
"internal",108,"control","second",1,8.516484,37.36264,62.36264
"internal",108,"control","second",2,8.241758,21.15385,77.1978
"internal",108,"control","second",3,NA,NA,NA
"internal",108,"control","second",4,10.43956,33.79121,88.18681
"internal",108,"control","second",5,23.9011,19.78022,88.46154
"internal",109,"control","second",1,8.241758,26.64835,21.97802
"internal",109,"control","second",2,8.241758,10.16484,12.63736
"internal",109,"control","second",3,10.98901,8.241758,8.241758
"internal",109,"control","second",4,9.615385,8.241758,8.241758
"internal",109,"control","second",5,23.9011,8.241758,8.241758
"internal",110,"control","second",1,14.56044,57.14286,8.241758
"internal",110,"control","second",2,8.241758,70.32967,23.07692
"internal",110,"control","second",3,8.241758,54.94505,26.64835
"internal",110,"control","second",4,69.78022,59.61538,9.89011
