ID	BISBAS3	BISBAS9	BISBAS12	BISBAS21		
Sub-01	2	3	2	2	9	
Sub-02	3	3	3	3	12	
Sub-03	2	3	3	2	10	
Sub-04	2	3	2	1	8	
Sub-05	2	3	2	2	9	
Sub-06	2	3	2	1	8	
Sub-07	1	3	1	1	6	
Sub-08	1	3	2	1	7	
Sub-09	2	2	1	1	6	
Sub-10	4	2	4	2	12	
Sub-11	2	3	2	1	8	
Sub-12	2	3	3	2	10	
Sub-13	1	4	2	1	8	
Sub-14	2	2	4	1	9	
Sub-15		3	2	1	6	
Sub-16	1	3	1	1	6	
Sub-17	2	4	3	2	11	
Sub-18	2	2	2	2	8	
Sub-19	1	4	2	1	8	
Sub-20	2	2	2	2	8	
Sub-21	3	3	4	2	12	
Sub-22	2	4	2	1	9	
Sub-23	1	1	2	1	5	
Sub-24	2	2	3	1	8	
Sub-25	1	3	2	1	7	
Sub-26	3	3	3	2	11	
Sub-27	2	3	3	3	11	
Sub-28	3	3	4	2	12	
Sub-29	1	3	1	1	6	
Sub-30	3	3	2	2	10	
Sub-31	2	4	3	1	10	
Sub-32	1	3	2	1	7	
Sub-33	1	2	2	1	6	
Sub-34	2	3	2	2	9	
Sub-35	3	3	3	3	12	
Sub-36	1	4	2	1	8	
Sub-37	3	4	3	2	12	
Sub-38	2	4	3	2	11	
Sub-39	3	4	4	1	12	
Sub-40	2	4	1	2	9	
Sub-41	1	3	2	1	7	
Sub-42	3	3	3	2	11	
Sub-43	2	3	2	1	8	
Sub-44	2	4	3	2	11	
Sub-45	1	3	1	1	6	
Sub-46	1	1	1	1	4	
Sub-47	1	4	2	1	8	
Sub-48	2	3	2	2	9	
Sub-49	2	2	3	2	9	
Sub-50	2	3	1	1	7	
Sub-51	1	3	4	1	9	
Sub-52	4	4	2	1	11	
Sub-53	1	3	2	2	8	
Sub-54	2	3	2	1	8	
Sub-55	2	4	4	3	13	
Sub-56	2	3	2	1	8	
Sub-57	3	2	3	2	10	
Sub-58	3	2	1	1	7	
Sub-59	2	4	2	4	12	
Sub-60	2	3	3	2	10	
Sub-61	2	3	1	1	7	
Sub-62	2	2	1	1	6	
Sub-63	2	3	2	2	9	
Sub-64	1	3	2	1	7	
Sub-65	2	3	3	2	10	
Sub-66	2	4	4	2	12	
Sub-67	3	2	2	1	8	
Sub-68	2	3	2	2	9	
Sub-69	1	4	1	1	7	
Sub-70	2	3	3	2	10	
Sub-71	2	3	3	2	10	
Sub-72	1	4	2	1	8	
Sub-73	2	3	2	2	9	
Sub-74	3	4	3	2	12	
Sub-75	2	4	4	1	11	
Sub-76	2	3	3	2	10	
Sub-77	2	4	3	1	10	
Sub-78	1	4	1	1	7	
Sub-79	2	3	2	2	9	
Sub-80	1	3	1	1	6	
Sub-81	1	3	2	2	8	
Sub-82	1	3	1	1	6	
					723	
					8,817073171	2,031408006
