ID   trial   item_condition   run   bin   congr   CS   CS_pupil   CS_DW_L   CS_DW_R   CS_DW_congr   CS_DW_cue   ANT_DW_L   ANT_DW_R   ANT_DW_congr   ANT_DW_cue   US_RT   US_ACC   CS_liking
sub-01   1   1   01   bin01    congr   CSpR  -1.369458e-01   0   0   0   0   0   0   0   0   2.679005e-01   1   NaN
sub-01   2   1   01   bin01    congr   CSpL  1.097569e-01   0   0   0   0   0   0   0   0   1.980971e-01   1   NaN
sub-01   3   2   01   bin01    congr   CSpR  -5.262400e-01   0   0   0   0   0   3.647059e-01   3.647059e-01   0   1.331643e-01   1   NaN
sub-01   4   2   01   bin01    congr   CSpL  6.769789e-01   0   0   0   0   0   0   0   0   -2.252436e-01   1   NaN
sub-01   5   3   01   bin01    congr   CSpL  -4.364339e-02   0   0   0   0   0   0   0   0   -1.412596e-01   1   NaN
sub-01   6   3   01   bin01    congr   CSpR  3.198524e-01   0   0   0   0   9.734513e-02   4.955752e-01   4.955752e-01   0   -7.038340e-02   1   NaN
sub-01   7   4   01   bin01    congr   CSpR  5.900877e-01   0   0   0   0   0   1.826923e-01   1.826923e-01   0   NaN   1   NaN
sub-01   8   1   01   bin01    congr   CSmi  -3.334580e-04   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   9   4   01   bin01    congr   CSpL  4.645207e-02   0   0   0   0   0   0   0   0   -1.919488e-01   1   NaN
sub-01   10   5   01   bin01    congr   CSpR  -7.748169e-01   0   0   0   0   0   6.693548e-01   6.693548e-01   0   -1.017079e-01   1   NaN
sub-01   11   6   01   bin01    congr   CSpR  -5.214485e-02   0   0   0   0   0   0   0   0   -1.473702e-01   1   NaN
sub-01   12   2   01   bin01    congr   CSmi  -2.089175e-02   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   13   5   01   bin01    incongr   CSpL  2.833671e-01   0   0   0   0   0   0   0   0   2.874256e-01   1   NaN
sub-01   14   3   01   bin01    congr   CSmi  -2.719200e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   15   4   01   bin01    congr   CSmi  -1.243739e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   16   6   01   bin01    congr   CSpL  -3.299105e-01   0   0   0   0   0   0   0   0   -1.819831e-02   1   NaN
sub-01   17   5   01   bin01    incongr   CSmi  -3.043525e-01   0   0   0   0   0   0   0   0   1.128529e-01   1   NaN
sub-01   18   7   01   bin01    congr   CSpR  -2.809312e-01   0   0   0   0   0   0   0   0   -1.111227e-01   1   NaN
sub-01   19   6   01   bin01    congr   CSmi  2.261150e-01   0   0   0   0   0   2.627119e-01   1.313559e-01   0   NaN   1   NaN
sub-01   20   7   01   bin01    incongr   CSmi  3.627988e-01   0   0   0   0   0   0   0   0   2.051168e-01   1   NaN
sub-01   21   7   01   bin01    congr   CSpL  3.138083e-01   0   0   0   0   0   0   0   0   6.306523e-02   1   NaN
sub-01   22   8   01   bin01    congr   CSmi  3.737321e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   23   8   01   bin01    congr   CSpL  -4.429023e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   24   9   01   bin01    congr   CSmi  -8.177749e-02   0   0   0   0   1.639344e-02   0   8.196721e-03   0   NaN   1   NaN
sub-01   25   10   01   bin02    congr   CSmi  2.761682e-01   0   0   0   0   0   2.250000e-01   1.125000e-01   0   NaN   1   NaN
sub-01   26   8   01   bin01    incongr   CSpR  3.642460e-01   0   0   0   0   0   1.074380e-01   1.074380e-01   0   3.378815e-01   1   NaN
sub-01   27   9   01   bin01    congr   CSpL  -5.442750e-01   0   0   0   0   0   0   0   0   6.404956e-02   1   NaN
sub-01   28   10   01   bin02    congr   CSpL  -3.086479e-02   0   0   0   0   0   0   0   0   -1.298213e-02   1   NaN
sub-01   29   9   01   bin01    congr   CSpR  1.630375e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   30   11   01   bin02    congr   CSmi  2.274098e-02   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   31   10   01   bin02    congr   CSpR  3.144309e-01   0   0   0   0   0   0   0   1.076923e-01   -1.082613e-02   1   NaN
sub-01   32   11   01   bin02    congr   CSpL  -5.390839e-01   0   0   0   0   0   0   0   0   8.707469e-02   1   NaN
sub-01   33   12   01   bin02    congr   CSmi  9.689678e-01   0   0   0   0   0   3.442623e-01   1.721311e-01   0   NaN   1   NaN
sub-01   34   11   01   bin02    congr   CSpR  -4.050698e-02   0   0   0   0   0   0   0   0   4.248160e-02   1   NaN
sub-01   35   12   01   bin02    congr   CSpL  -1.011884e+00   0   0   0   0   0   0   0   0   -3.774108e-02   1   NaN
sub-01   36   13   01   bin02    congr   CSmi  -3.675484e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   37   13   01   bin02    congr   CSpL  -9.088851e-01   0   0   0   0   0   0   0   0   -1.249608e-01   1   NaN
sub-01   38   12   01   bin02    congr   CSpR  7.285474e-01   0   0   0   0   0   0   0   0   -5.698342e-03   1   NaN
sub-01   39   13   01   bin02    incongr   CSpR  -5.478545e-01   0   0   0   0   0   1.025641e-01   1.025641e-01   8.547009e-02   -3.619383e-02   1   NaN
sub-01   40   14   01   bin02    congr   CSpL  -3.459739e-01   0   0   0   0   0   0   0   0   -2.012609e-01   1   NaN
sub-01   41   15   01   bin02    congr   CSpL  -1.367031e-01   0   0   0   0   0   0   0   0   -7.008605e-02   1   NaN
sub-01   42   14   01   bin02    congr   CSmi  -6.617304e-03   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   43   16   01   bin02    congr   CSpL  -2.402784e-01   0   0   0   0   0   0   0   0   NaN   1   NaN
sub-01   44   14   01   bin02    congr   CSpR  1.222995e-01   0   0   0   0   0   0   0   1.219512e-01   -5.834532e-02   1   NaN
sub-01   45   15   01   bin02    congr   CSpR  -7.724896e-02   0   0   0   0   0   0   0   0   7.523392e-02   1   NaN
sub-01   46   16   01   bin02    congr   CSpR  2.478823e-01   0   0   0   0   0   0   0   0   -1.044049e-01   1   NaN
sub-01   47   15   01   bin02    incongr   CSmi  -3.464984e-01   0   0   0   0   5.078125e-01   0   2.539063e-01   0   1.920585e-02   1   NaN
sub-01   48   16   01   bin02    incongr   CSmi  3.532970e-01   0   0   0   1.204819e-02   2.421875e-01   0   1.210938e-01   4.843750e-01   -7.835507e-03   1   NaN
