"","ID","trial","item_condition","run","bin","congr","CS","CS_pupil","CS_DW_L","CS_DW_R","CS_DW_congr","CS_DW_cue","ANT_DW_L","ANT_DW_R","ANT_DW_congr","ANT_DW_cue","US_RT","US_ACC","CS_liking"
"1","sub-01",1,1,1,"bin01","congr","CSpR",-0.1369458,0,0,0,0,0,0,0,0,0.2679005,1,NA
"2","sub-01",2,1,1,"bin01","congr","CSpL",0.1097569,0,0,0,0,0,0,0,0,0.1980971,1,NA
"3","sub-01",3,2,1,"bin01","congr","CSpR",-0.52624,0,0,0,0,0,0.3647059,0.3647059,0,0.1331643,1,NA
"4","sub-01",4,2,1,"bin01","congr","CSpL",0.6769789,0,0,0,0,0,0,0,0,-0.2252436,1,NA
"5","sub-01",5,3,1,"bin01","congr","CSpL",-0.04364339,0,0,0,0,0,0,0,0,-0.1412596,1,NA
"6","sub-01",6,3,1,"bin01","congr","CSpR",0.3198524,0,0,0,0,0.09734513,0.4955752,0.4955752,0,-0.0703834,1,NA
"7","sub-01",7,4,1,"bin01","congr","CSpR",0.5900877,0,0,0,0,0,0.1826923,0.1826923,0,NA,1,NA
"8","sub-01",8,1,1,"bin01","congr","CSmi",-0.000333458,0,0,0,0,0,0,0,0,NA,1,NA
"9","sub-01",9,4,1,"bin01","congr","CSpL",0.04645207,0,0,0,0,0,0,0,0,-0.1919488,1,NA
"10","sub-01",10,5,1,"bin01","congr","CSpR",-0.7748169,0,0,0,0,0,0.6693548,0.6693548,0,-0.1017079,1,NA
"11","sub-01",11,6,1,"bin01","congr","CSpR",-0.05214485,0,0,0,0,0,0,0,0,-0.1473702,1,NA
"12","sub-01",12,2,1,"bin01","congr","CSmi",-0.02089175,0,0,0,0,0,0,0,0,NA,1,NA
"13","sub-01",13,5,1,"bin01","incongr","CSpL",0.2833671,0,0,0,0,0,0,0,0,0.2874256,1,NA
"14","sub-01",14,3,1,"bin01","congr","CSmi",-0.27192,0,0,0,0,0,0,0,0,NA,1,NA
"15","sub-01",15,4,1,"bin01","congr","CSmi",-0.1243739,0,0,0,0,0,0,0,0,NA,1,NA
"16","sub-01",16,6,1,"bin01","congr","CSpL",-0.3299105,0,0,0,0,0,0,0,0,-0.01819831,1,NA
"17","sub-01",17,5,1,"bin01","incongr","CSmi",-0.3043525,0,0,0,0,0,0,0,0,0.1128529,1,NA
"18","sub-01",18,7,1,"bin01","congr","CSpR",-0.2809312,0,0,0,0,0,0,0,0,-0.1111227,1,NA
"19","sub-01",19,6,1,"bin01","congr","CSmi",0.226115,0,0,0,0,0,0.2627119,0.1313559,0,NA,1,NA
"20","sub-01",20,7,1,"bin01","incongr","CSmi",0.3627988,0,0,0,0,0,0,0,0,0.2051168,1,NA
"21","sub-01",21,7,1,"bin01","congr","CSpL",0.3138083,0,0,0,0,0,0,0,0,0.06306523,1,NA
"22","sub-01",22,8,1,"bin01","congr","CSmi",0.3737321,0,0,0,0,0,0,0,0,NA,1,NA
"23","sub-01",23,8,1,"bin01","congr","CSpL",-0.4429023,0,0,0,0,0,0,0,0,NA,1,NA
"24","sub-01",24,9,1,"bin01","congr","CSmi",-0.08177749,0,0,0,0,0.01639344,0,0.008196721,0,NA,1,NA
"25","sub-01",25,10,1,"bin02","congr","CSmi",0.2761682,0,0,0,0,0,0.225,0.1125,0,NA,1,NA
"26","sub-01",26,8,1,"bin01","incongr","CSpR",0.364246,0,0,0,0,0,0.107438,0.107438,0,0.3378815,1,NA
"27","sub-01",27,9,1,"bin01","congr","CSpL",-0.544275,0,0,0,0,0,0,0,0,0.06404956,1,NA
"28","sub-01",28,10,1,"bin02","congr","CSpL",-0.03086479,0,0,0,0,0,0,0,0,-0.01298213,1,NA
"29","sub-01",29,9,1,"bin01","congr","CSpR",0.1630375,0,0,0,0,0,0,0,0,NA,1,NA
"30","sub-01",30,11,1,"bin02","congr","CSmi",0.02274098,0,0,0,0,0,0,0,0,NA,1,NA
"31","sub-01",31,10,1,"bin02","congr","CSpR",0.3144309,0,0,0,0,0,0,0,0.1076923,-0.01082613,1,NA
"32","sub-01",32,11,1,"bin02","congr","CSpL",-0.5390839,0,0,0,0,0,0,0,0,0.08707469,1,NA
"33","sub-01",33,12,1,"bin02","congr","CSmi",0.9689678,0,0,0,0,0,0.3442623,0.1721311,0,NA,1,NA
"34","sub-01",34,11,1,"bin02","congr","CSpR",-0.04050698,0,0,0,0,0,0,0,0,0.0424816,1,NA
"35","sub-01",35,12,1,"bin02","congr","CSpL",-1.011884,0,0,0,0,0,0,0,0,-0.03774108,1,NA
"36","sub-01",36,13,1,"bin02","congr","CSmi",-0.3675484,0,0,0,0,0,0,0,0,NA,1,NA
"37","sub-01",37,13,1,"bin02","congr","CSpL",-0.9088851,0,0,0,0,0,0,0,0,-0.1249608,1,NA
"38","sub-01",38,12,1,"bin02","congr","CSpR",0.7285474,0,0,0,0,0,0,0,0,-0.005698342,1,NA
"39","sub-01",39,13,1,"bin02","incongr","CSpR",-0.5478545,0,0,0,0,0,0.1025641,0.1025641,0.08547009,-0.03619383,1,NA
"40","sub-01",40,14,1,"bin02","congr","CSpL",-0.3459739,0,0,0,0,0,0,0,0,-0.2012609,1,NA
"41","sub-01",41,15,1,"bin02","congr","CSpL",-0.1367031,0,0,0,0,0,0,0,0,-0.07008605,1,NA
"42","sub-01",42,14,1,"bin02","congr","CSmi",-0.006617304,0,0,0,0,0,0,0,0,NA,1,NA
"43","sub-01",43,16,1,"bin02","congr","CSpL",-0.2402784,0,0,0,0,0,0,0,0,NA,1,NA
"44","sub-01",44,14,1,"bin02","congr","CSpR",0.1222995,0,0,0,0,0,0,0,0.1219512,-0.05834532,1,NA
"45","sub-01",45,15,1,"bin02","congr","CSpR",-0.07724896,0,0,0,0,0,0,0,0,0.07523392,1,NA
"46","sub-01",46,16,1,"bin02","congr","CSpR",0.2478823,0,0,0,0,0,0,0,0,-0.1044049,1,NA
"47","sub-01",47,15,1,"bin02","incongr","CSmi",-0.3464984,0,0,0,0,0.5078125,0,0.2539063,0,0.01920585,1,NA
"48","sub-01",48,16,1,"bin02","incongr","CSmi",0.353297,0,0,0,0.01204819,0.2421875,0,0.1210938,0.484375,-0.007835507,1,NA
"49","sub-01",49,17,1,"bin02","congr","CSpR",0.8120706,0,0,0,0,0.072,0.648,0.648,0,-0.1850082,1,NA
"50","sub-01",50,17,1,"bin02","incongr","CSpL",-0.3024299,0,0,0,0.09448819,0.6854839,0,0.6854839,0,0.1532442,1,NA
