bids_name	aor	aqi	dummy_trs	dvars_nstd	dvars_std	dvars_vstd	efc	fber	fd_mean	fd_num	fd_perc	fwhm_avg	fwhm_x	fwhm_y	fwhm_z	gcor	gsr_x	gsr_y	size_t	size_x	size_y	size_z	snr	spacing_tr	spacing_x	spacing_y	spacing_z	summary_bg_k	summary_bg_mad	summary_bg_mean	summary_bg_median	summary_bg_n	summary_bg_p05	summary_bg_p95	summary_bg_stdv	summary_fg_k	summary_fg_mad	summary_fg_mean	summary_fg_median	summary_fg_n	summary_fg_p05	summary_fg_p95	summary_fg_stdv	tsnr
sub-control100_ses-second_task-PIT_run-01_bold	0.001458512035010941	0.02121106258205689	0	40.21881100576755	1.1619969252850872	0.9954031141447364	0.5179314693276218	2758.3466796875	0.4205995462574291	400	87.527352297593	2.517781636269072	2.3949933333333333	2.86341	2.2949415754738816	0.0255126	-0.02507363259792328	0.03728365898132324	457	70	70	40	5.767794294356987	2.0	3.0	3.0	3.6000001430511475	28.313335591424377	8.06509740620838	36.95092010498047	12.345733642578125	117592.0	5.284463882446289	172.20130920410156	68.4377212524414	4.4822947159356765	97.23215551621178	681.6879272460938	683.9234008789062	39883.0	517.3256347656251	854.1128967285157	118.57476043701172	37.42198292410467
sub-control100_ses-second_task-hedonicreactivity_run-01_bold	0.0018972668810289387	0.018466518408360128	0	36.49377031674715	1.1595724559581302	1.0141320414170694	0.5151806691508682	2922.8896484375	0.38630281994044596	550	88.42443729903538	2.446643303465447	2.2994566666666665	2.7855233333333334	2.2549499103963413	0.0323706	-0.02202829159796238	0.04114818945527077	622	70	70	40	6.02079986104541	2.0	3.0	3.0	3.6000001430511475	29.10540193673861	7.582247378061525	36.804222106933594	12.29903507232666	118151.0	5.667202472686768	173.88182830810547	68.22895812988281	4.395585854315091	94.83889854758831	688.6398315429688	688.46142578125	39384.0	532.2907745361329	860.0998107910157	114.34571838378906	41.6424089812208
sub-control100_ses-second_task-pav_run-01_bold	0.0010861111111111113	0.030173239087301587	0	35.205380062186876	1.0838886243339965	0.9513444412127242	0.519505624299957	2714.721923828125	0.34623875604323673	416	82.53968253968254	2.565319227821416	2.3908566666666666	2.931623333333333	2.3734776834642486	0.0146865	-0.02698381431400776	0.038807548582553864	504	70	70	40	5.756499955865067	2.0	3.0	3.0	3.6000001430511475	25.688337467181988	8.413178975265984	39.2849235534668	12.77579402923584	117728.0	5.440476417541504	180.68116760253906	72.97039031982422	4.305723542500962	96.29267942780082	684.4387817382812	687.2282104492188	39911.0	514.5188903808594	857.6627502441406	119.38150024414062	32.06450160057284
sub-control100_ses-second_task-inst_run-01_bold	0.0017479352226720648	0.017533232388663972	0	44.00281532434961	1.2301761636585362	1.021954116219512	0.5181957517780583	2725.18603515625	0.4899284988427564	237	95.95141700404858	2.4635262664804354	2.3242533333333335	2.815303333333333	2.251022132774639	0.021126	-0.02920904941856861	0.029445985332131386	247	70	70	40	5.86118408699714	2.0	3.0	3.0	3.6000001430511475	26.354972714466975	7.767155549075841	37.87433624267578	12.530364990234375	117803.0	5.688259124755859	175.79191284179677	71.96420288085938	4.392884499324967	95.1416809586674	685.205322265625	687.617431640625	39856.0	522.5465545654297	855.8046722412109	117.31568145751953	41.88157637696713
sub-control101_ses-second_task-PIT_run-01_bold	0.0013075051124744376	0.01496501261758691	0	40.138153732786854	1.1971889315368847	1.0102151682172125	0.49649748378954783	2308.602783203125	0.3939963841498721	384	78.52760736196319	2.479656080326086	2.48008	2.6346966666666667	2.324191574311591	0.0299261	-0.009639136493206024	-0.0010518064955249429	489	70	70	40	5.409422305431034	2.0	3.0	3.0	3.6000001430511475	31.919288831287673	8.559072154218367	36.531494140625	14.35787296295166	122199.0	6.752351379394533	147.35234374999996	68.18824768066406	4.206357821340204	101.51576650977312	714.9718017578125	720.8087768554688	36560.0	497.4278076171875	901.7096954345703	133.248779296875	46.117181301815435
sub-control101_ses-second_task-hedonicreactivity_run-01_bold	0.002375667396061269	0.017547335908096276	0	37.85600256929827	1.147822977828947	1.0113115344078945	0.49690427059553666	2381.6181640625	0.46117080168006885	357	78.11816192560175	2.5065307097422793	2.498326666666667	2.6809600000000002	2.340305462560172	0.0206194	-0.008822222240269184	0.001186249079182744	457	70	70	40	5.358581495543975	2.0	3.0	3.0	3.6000001430511475	32.45771638644525	8.681494973820463	36.61065673828125	14.229759216308594	122077.0	6.665207862854004	147.95361022949217	67.69274139404297	4.304047147022645	101.97840102162064	714.9038696289062	721.7199096679688	36673.0	496.014453125	902.5790161132813	134.68304443359375	40.765014691744
sub-control101_ses-second_task-pav_run-01_bold	0.0016751028806584363	0.02090213345679012	0	47.52908102128098	1.1804768590082646	1.0083948173553714	0.49609033495280497	2340.683349609375	0.5750634501853384	226	93.00411522633745	2.5268558947291506	2.5225466666666665	2.7027433333333337	2.355277684187451	0.0145366	-0.00966063141822815	0.0010765306651592255	243	70	70	40	5.239645821027374	2.0	3.0	3.0	3.6000001430511475	34.28063904025916	8.431918359443157	35.6434326171875	14.234567642211914	121879.0	6.7407402992248535	141.0580139160156	65.50981140136719	4.234103536240602	101.35392361012728	710.0444946289062	717.9218139648438	36831.0	481.52056884765625	899.1645812988281	137.015380859375	39.741231522057205
sub-control101_ses-second_task-inst_run-01_bold	0.0030468115942028982	0.015595874106280192	0	42.129334958592224	1.1963806402912618	1.0254139491747567	0.4945398929948582	2380.511962890625	0.5146125721640187	170	82.1256038647343	2.486034413708317	2.48252	2.6550833333333332	2.320499907791618	0.0170471	-0.009430012665688992	0.0009207932744175196	207	70	70	40	5.422936961509925	2.0	3.0	3.0	3.6000001430511475	33.18263894654748	8.408575959821853	35.1546516418457	14.154589653015137	122166.0	6.65217399597168	137.96014022827148	64.56485748291016	4.387485592650795	100.74537258965303	713.8256225585938	720.0096435546875	36593.0	499.1806640625	899.1594360351564	132.76934814453125	44.576598030980676
sub-control102_ses-second_task-PIT_run-01_bold	0.0022607252747252745	0.01890599268131868	0	35.22811984559471	1.1199154573788541	0.9947085920264327	0.5198995137603338	2807.29931640625	0.413669475591925	350	76.92307692307692	2.4715519453051615	2.3829966666666667	2.775786887266389	2.2558722819824295	0.0207278	-0.019557753577828407	0.011068078689277172	455	70	70	40	5.669060436691399	2.0	3.0	2.999999761581421	3.5999999046325684	28.31592572171499	8.845106686957495	40.940555572509766	14.501099586486816	114782.0	7.05274772644043	165.56869430541988	80.71995544433594	5.073497071912374	104.48599318940683	790.833251953125	798.5681762695312	42292.0	575.9796752929688	988.3388305664062	140.8626251220703	41.63413474196568
sub-control102_ses-second_task-hedonicreactivity_run-01_bold	0.001399096880131363	0.015526341067323481	0	36.46960691077304	1.1588888140789464	1.0199141133552625	0.5189894136985648	2836.695068359375	0.420286307637957	489	80.29556650246306	2.4575693520977335	2.3749766666666665	2.7579368858477977	2.239794503778736	0.0465326	-0.01691409759223461	0.010338782332837582	609	70	70	40	5.623303028880461	2.0	3.0	2.999999761581421	3.5999999046325684	27.52644407008195	8.63755883439152	39.988155364990234	14.380952835083008	114748.0	7.078817844390869	162.81231765747052	78.61272430419922	5.15671847290049	105.31832810187109	793.1021118164062	801.2430419921875	42384.0	577.3127349853515	990.5614288330078	142.48451232910156	44.430339021841064
