sub	overall_inaccuracy	unclass_to_unknown	overall_accuracy
1	0.087591241	0.00729927	0.912408759
2	0.06504065	0.008130081	0.93495935
3	0.06557377	0	0.93442623
4	0.042253521	0.014084507	0.957746479
5	0.06185567	0.010309278	0.93814433
6	0.033898305	0.016949153	0.966101695
7	0.030075188	0.007518797	0.969924812
9	0.04242424	0.01818182	0.95757576
10	0.227272727	0.009090909	0.772727273
11	0.057971014	0.050724638	0.942028986
12	0.08	0.016	0.92
13	0.06870229	0.015267176	0.93129771
14	0.062827225	0.015706806	0.937172775
15	0.047244094	0	0.952755906
16	0.116022099	0	0.883977901
17	0.082758621	0.013793103	0.917241379
18	0.088435374	0.027210884	0.911564626
20	0.095652174	0	0.904347826
21	0.042424242	0	0.957575758
22	0.105960265	0	0.894039735
23	0.067484663	0.018404908	0.932515337
24	0.073170732	0	0.926829268
25	0.076271186	0.008474576	0.923728814
26	0.03	0	0.97
AVG	0.073	0.011	0.927
