task   id   group   session   trial   condition   trialxcondition   RT    ACC   liking
pavlovianlearning   103   control   second   1    CSminu   1   9.991802e-01   NaN   50
pavlovianlearning   103   control   second   2    CSplus   1   9.993954e-01   NaN   50
pavlovianlearning   103   control   second   3    CSplus   2   9.992289e-01   NaN   50
pavlovianlearning   103   control   second   4    CSminu   2   4.502712e-01   NaN   50
pavlovianlearning   103   control   second   5    CSminu   3   NaN   NaN   50
pavlovianlearning   103   control   second   6    CSplus   3   NaN   NaN   50
pavlovianlearning   103   control   second   7    CSminu   4   NaN   NaN   50
pavlovianlearning   103   control   second   8    CSplus   4   NaN   NaN   50
pavlovianlearning   103   control   second   9    CSminu   5   NaN   NaN   50
pavlovianlearning   103   control   second   10    CSplus   5   NaN   NaN   50
pavlovianlearning   103   control   second   11    CSminu   6   NaN   NaN   50
pavlovianlearning   103   control   second   12    CSplus   6   NaN   NaN   50
pavlovianlearning   103   control   second   13    CSminu   7   NaN   NaN   50
pavlovianlearning   103   control   second   14    CSplus   7   NaN   NaN   50
pavlovianlearning   103   control   second   15    CSplus   8   NaN   NaN   50
pavlovianlearning   103   control   second   16    CSminu   8   NaN   NaN   50
pavlovianlearning   103   control   second   17    CSminu   9   NaN   NaN   50
pavlovianlearning   103   control   second   18    CSplus   9   NaN   NaN   50
pavlovianlearning   103   control   second   19    CSplus   10   NaN   NaN   50
pavlovianlearning   103   control   second   20    CSminu   10   NaN   NaN   50
pavlovianlearning   103   control   second   21    CSminu   11   NaN   NaN   50
pavlovianlearning   103   control   second   22    CSplus   11   NaN   NaN   50
pavlovianlearning   103   control   second   23    CSplus   12   NaN   NaN   50
pavlovianlearning   103   control   second   24    CSminu   12   NaN   NaN   50
pavlovianlearning   103   control   second   25    CSminu   13   NaN   NaN   50
pavlovianlearning   103   control   second   26    CSplus   13   NaN   NaN   50
pavlovianlearning   103   control   second   27    CSminu   14   NaN   NaN   50
pavlovianlearning   103   control   second   28    CSplus   14   NaN   NaN   50
pavlovianlearning   103   control   second   29    CSminu   15   NaN   NaN   50
pavlovianlearning   103   control   second   30    CSplus   15   NaN   NaN   50
pavlovianlearning   103   control   second   31    CSminu   16   NaN   NaN   50
pavlovianlearning   103   control   second   32    CSplus   16   NaN   NaN   50
pavlovianlearning   103   control   second   33    CSminu   17   NaN   NaN   50
pavlovianlearning   103   control   second   34    CSplus   17   NaN   NaN   50
pavlovianlearning   103   control   second   35    CSminu   18   NaN   NaN   50
pavlovianlearning   103   control   second   36    CSplus   18   NaN   NaN   50
pavlovianlearning   103   control   second   37    CSminu   19   NaN   NaN   50
pavlovianlearning   103   control   second   38    CSplus   19   NaN   NaN   50
pavlovianlearning   103   control   second   39    CSminu   20   NaN   NaN   50
pavlovianlearning   103   control   second   40    CSplus   20   NaN   NaN   50
